Nome,Apelido,Cc,Idade,Contacto,Email,Contratado,Estudante,IBAN,Salario
Megui,Barros,21271625,21,912812123,megui_Barros@gmail.com,Nao,Sim,PT50214215698741236547853,755
Andre,Costa,53423123,32,924252432,Andre_Costa@gmail.com,Nao,Sim,PT50987456321741236987412,595
Luis,Barros,12345642,19,962314125,Luis_Barros@gmail.com,Sim,Sim,PT50125478963214587410236,1200
Ricardo,Esteves,22334567,40,911212453,Ricardo_Esteves@gmail.com,Nao,Nao,PT50214563210000102032101,857
Miguel,Araujo,76545675,34,932245623,miguel_Araujo@hotmail.com,Nao,Sim,PT50000022114545478745200,452
Joao,Barros,12312123,22,913133311,Joao_Barros@outlook.com,Sim,Sim,PT50123454312345232453155,745
Pedro,Barros,14322121,21,933333412,Pedro_Barros@gmail.com,Nao,Sim,PT5120102541254125412541,9581
Mariana,Silva,33445566,23,912812123,Mariana_Silva@gmail.com,Nao,Sim,PT50147414741478965236520,1455
Ana,Barros,35456765,21,912810001,Ana_Barros@gmail.com,Nao,Sim,PT50214215879654123654120,1414
Tiago,Barroso,14456456,29,962666663,Tiago_Barroso@gmail.com,Sim,Nao,PT50999887744556632145630,963
Soraia,Costa,08778908,25,964531331,Soaria_Costa@hotmail.com,Nao,Nao,PT50336655441122336655881,741
Leticia,Barros,33221155,21,918765312,Leticia_Barros@outlook.com,Nao,Sim,PT50112200445588996633220,852
Sonia,Almeida,11324354,26,932002123,Sonia_Almeida @hotmail.com,Sim,Sim,PT50121212125252526363699,951
Vera,costa,11113433,20,913544123,Vera_Costa@gmail.com,Sim,Nao,PT50352523655125364587895,949
Bruna,Estefania,13232345,34,910812123,Bruna_Estefania@gmail.com,Sim,Nao,PT50323232323256565889789,655,
Luisa,Cunha,22124567,27,962002003,Luisa_Cunha@hotmail.com,Nao,Sim,PT50123654789654123656987,850
Carolina,Barros,12313344,25,915554523,Carolina_Barros@gmail.com,Nao,Nao,PT50214587896536523654789,765
Iolanda,Faria,45545433,25,912324323,Iolanda_Faria@hotmail.com,Nao,Sim,PT50214569896325698741236,788
Joana,Barros,14475343,20,962812123,Joana_Barros@gmail.com,Nao,Sim,PT50123654789656989632531,998
